lambda_j,p_jump,lambda_a,alpha,delta0,k0,n,mean0,mean1,median0,median1,sc0,as0,ic0,sc1,as1,ic1,diff_mean,ci_lo,ci_hi,passes
0.5,0.2,4.0,0.5,4.0,2,30,-248.6,5.866666666666666,-36.0,24.5,245.46666666666667,-387.4,-106.66666666666667,73.78333333333333,-65.48333333333333,-2.433333333333333,254.46666666666667,73.2625,480.935,False
0.5,0.2,4.0,0.5,4.0,3,30,-103.66666666666667,5.866666666666666,23.5,24.5,286.3,-326.03333333333336,-63.93333333333333,73.78333333333333,-65.48333333333333,-2.433333333333333,109.53333333333333,-9.801666666666666,261.5483333333331,False
0.5,0.2,4.0,0.5,4.0,5,30,-4.8,5.866666666666666,66.5,24.5,290.3333333333333,-258.8333333333333,-36.3,73.78333333333333,-65.48333333333333,-2.433333333333333,10.666666666666666,-60.90083333333333,101.8,False
0.5,0.2,4.0,0.05,8.0,2,30,273.3,195.3,190.0,202.0,372.53333333333336,-111.4,12.166666666666666,304.21666666666664,-119.91666666666667,11.0,-78.0,-143.40083333333334,-16.565833333333345,False
0.5,0.2,4.0,0.05,8.0,3,30,341.7,195.3,252.0,202.0,495.1,-148.96666666666667,-4.433333333333334,304.21666666666664,-119.91666666666667,11.0,-146.4,-254.3,-37.59916666666668,False
0.5,0.2,4.0,0.05,8.0,5,30,418.56666666666666,195.3,363.5,202.0,655.8333333333334,-228.06666666666666,-9.2,304.21666666666664,-119.91666666666667,11.0,-223.26666666666668,-324.5708333333333,-121.26500000000003,False
0.5,0.2,4.0,0.1,8.0,2,30,68.33333333333333,94.7,139.5,148.5,373.73333333333335,-313.7,8.3,417.3666666666667,-327.7,5.033333333333333,26.366666666666667,-17.833333333333332,72.46749999999999,True
0.5,0.2,4.0,0.1,8.0,3,30,127.4,94.7,202.5,148.5,496.1,-352.9,-15.8,417.3666666666667,-327.7,5.033333333333333,-32.7,-98.50083333333333,41.06999999999996,False
0.5,0.2,4.0,0.1,8.0,5,30,243.13333333333333,94.7,316.0,148.5,660.3333333333334,-402.6333333333333,-14.566666666666666,417.3666666666667,-327.7,5.033333333333333,-148.43333333333334,-223.7675,-70.2,False
0.5,0.2,4.0,0.2,8.0,2,30,-127.43333333333334,47.46666666666667,60.5,190.5,372.73333333333335,-415.46666666666664,-84.7,491.76666666666665,-391.9,-52.4,174.9,117.63250000000001,238.0,False
0.5,0.2,4.0,0.2,8.0,3,30,14.333333333333334,47.46666666666667,138.5,190.5,494.0,-406.1666666666667,-73.5,491.76666666666665,-391.9,-52.4,33.13333333333333,-16.234166666666667,85.73333333333333,True
0.5,0.2,4.0,0.2,8.0,5,30,178.66666666666666,47.46666666666667,260.0,190.5,636.8333333333334,-404.53333333333336,-53.63333333333333,491.76666666666665,-391.9,-52.4,-131.2,-209.9375,-68.43333333333334,False
0.5,0.2,4.0,0.3,8.0,2,30,-159.6,39.0,22.0,156.5,352.3333333333333,-407.4,-104.53333333333333,484.01666666666665,-382.01666666666665,-63.0,198.6,131.89833333333334,277.30083333333334,False
0.5,0.2,4.0,0.3,8.0,3,30,-0.06666666666666667,39.0,121.0,156.5,465.5,-392.53333333333336,-73.03333333333333,484.01666666666665,-382.01666666666665,-63.0,39.06666666666667,3.5991666666666675,75.46666666666667,False
0.5,0.2,4.0,0.3,8.0,5,30,159.0,39.0,227.5,156.5,607.8333333333334,-399.96666666666664,-48.86666666666667,484.01666666666665,-382.01666666666665,-63.0,-120.0,-179.5,-68.59833333333336,False
0.5,0.2,4.0,0.4,8.0,2,30,-205.96666666666667,19.733333333333334,-1.0,153.0,321.6666666666667,-410.6,-117.03333333333333,438.46666666666664,-350.5,-68.23333333333333,225.7,146.0325,322.5424999999999,False
0.5,0.2,4.0,0.4,8.0,3,30,-40.03333333333333,19.733333333333334,88.5,153.0,416.5,-374.53333333333336,-82.0,438.46666666666664,-350.5,-68.23333333333333,59.766666666666666,34.9325,89.7,False
0.5,0.2,4.0,0.4,8.0,5,30,118.83333333333333,19.733333333333334,184.0,153.0,531.0,-360.6666666666667,-51.5,438.46666666666664,-350.5,-68.23333333333333,-99.1,-144.6675,-59.59833333333336,False
0.5,0.2,4.0,0.5,8.0,2,30,-225.36666666666667,2.6333333333333333,-18.0,148.0,291.6666666666667,-405.46666666666664,-111.56666666666666,403.4166666666667,-324.9166666666667,-75.86666666666666,228.0,141.1575,339.6333333333333,False
0.5,0.2,4.0,0.5,8.0,3,30,-60.36666666666667,2.6333333333333333,73.5,148.0,372.9,-363.8666666666667,-69.4,403.4166666666667,-324.9166666666667,-75.86666666666666,63.0,28.299166666666668,108.46749999999999,False
